,id_ticket,fecha,id_empleado,id_agente,categoría,tipo,severidad,prioridad,días_resolución,satisfacción,web,índice_,semestre
78,GDLENR-1042665803,2016-10-22,2000.0,8.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
79,GDLENR-1042686934,2016-11-12,123.0,9.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
80,GDLENR-1042706123,2016-12-02,852.0,31.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
81,GDLENR-2042407414,2016-02-07,1931.0,24.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
82,GDLENR-2042589856,2016-08-07,1305.0,48.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
83,GDLENR-2042707447,2016-12-03,1074.0,4.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,2º semestre
84,GDLENR-2042723756,2016-12-19,1275.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
85,GDLENR-2142503103,2016-05-13,1070.0,41.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
86,GDLENR-3042406506,2016-02-06,410.0,25.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
87,GDLENR-3042421854,2016-02-21,1715.0,38.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
88,GDLENR-3042434294,2016-03-05,1969.0,42.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
89,GDLENR-3042455761,2016-03-26,1816.0,37.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
90,GDLENR-3042547176,2016-06-26,1307.0,21.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
91,GDLENR-3042668609,2016-10-25,890.0,36.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
92,GDLENR-3042686112,2016-11-12,511.0,21.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
93,GDLENR-3142523579,2016-06-02,1977.0,35.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
94,GDLENR-4042373567,2016-01-04,966.0,15.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
95,GDLENR-4042390443,2016-01-21,124.0,24.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
96,GDLENR-4042563537,2016-07-12,1323.0,35.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
97,GDLENR-4042572365,2016-07-21,1496.0,23.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
98,GDLENR-4042625591,2016-09-12,879.0,45.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
99,GDLENR-4042626020,2016-09-13,222.0,40.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
100,GDLENR-4042668397,2016-10-25,1109.0,23.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
101,GDLENR-4042676763,2016-11-02,1946.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
102,GDLENR-4042698294,2016-11-24,1619.0,12.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
103,GDLENR-4042702792,2016-11-28,1649.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
104,GDLENR-4142431442,2016-03-02,1864.0,34.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
105,GDLENR-4142541882,2016-06-20,178.0,28.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,www.tractchun.es,1.0,1º semestre
106,GDLENR-4242537019,2016-06-16,1691.0,40.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,www.tractchun.es,1.0,1º semestre
107,GDLENR-5042408558,2016-02-08,1905.0,5.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
108,GDLENR-5042423792,2016-02-23,979.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
109,GDLENR-5042469459,2016-04-09,1815.0,34.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
110,GDLENR-5042538073,2016-06-17,1657.0,30.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
111,GDLENR-5042567651,2016-07-16,815.0,36.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
112,GDLENR-5042593156,2016-08-11,1615.0,1.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
113,GDLENR-5042638718,2016-09-25,621.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
114,GDLENR-5042701899,2016-11-27,1519.0,8.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
116,GDLENR-5042725925,2016-12-21,1762.0,29.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
117,GDLENR-5042730284,2016-12-26,28.0,32.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
118,GDLENR-6042530747,2016-06-09,64.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
119,GDLENR-6042536114,2016-06-15,1881.0,1.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
120,GDLENR-6042581955,2016-07-30,1825.0,9.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,2º semestre
121,GDLENR-6042655821,2016-10-12,1892.0,18.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,2º semestre
122,GDLENR-6042695293,2016-11-21,1619.0,32.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
123,GDLENR-6242639381,2016-09-26,8.0,33.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,2.0,1.0,www.tractchun.es,1.0,2º semestre
124,GDLENR-7042524573,2016-06-03,777.0,45.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
125,GDLENR-7042572700,2016-07-21,370.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
126,GDLENR-7042588109,2016-08-06,1840.0,31.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
127,GDLENR-7142578538,2016-07-27,233.0,25.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
128,GDLENR-7142633175,2016-09-20,787.0,41.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
129,GDLENR-7242484128,2016-04-24,1232.0,11.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,2.0,1.0,www.tractchun.es,1.0,1º semestre
130,GDLENR-8042441618,2016-03-12,1641.0,36.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,1º semestre
131,GDLENR-8042464203,2016-04-04,1540.0,42.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
132,GDLENR-8042518947,2016-05-28,1964.0,19.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,1º semestre
133,GDLENR-8042534334,2016-06-13,1363.0,33.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
134,GDLENR-8042613653,2016-08-31,985.0,16.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
135,GDLENR-8042673893,2016-10-30,49.0,48.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
136,GDLENR-8142561329,2016-07-10,1012.0,3.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
137,GDLENR-8142639353,2016-09-26,575.0,3.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
138,GDLENR-8142656861,2016-10-13,1926.0,18.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
139,GDLENR-9042389843,2016-01-20,1054.0,8.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
140,GDLENR-9042424141,2016-02-24,544.0,31.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
141,GDLENR-9042494474,2016-05-04,717.0,44.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,1º semestre
143,GDLENR-9042612728,2016-08-30,1722.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
144,GDLENR-9042629542,2016-09-16,1684.0,45.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
145,GDLENR-9042644411,2016-10-01,811.0,34.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
146,GDLENR-9142441301,2016-03-12,1650.0,43.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
147,GDLENT-0042439967,2016-03-10,1776.0,19.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,1º semestre
148,GDLENT-1042585748,2016-08-03,964.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
149,GDLENT-2042684721,2016-11-10,1462.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
150,GDLENT-2142503679,2016-05-13,837.0,46.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
151,GDLENT-3042589848,2016-08-07,644.0,48.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
152,GDLENT-3242491479,2016-05-01,697.0,4.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,www.tractchun.es,1.0,1º semestre
153,GDLENT-4042661806,2016-10-18,1370.0,28.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,1.0,www.tractchun.es,1.0,2º semestre
154,GDLENT-5042707437,2016-12-03,1823.0,44.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
155,GDLENT-7042637176,2016-09-24,1917.0,41.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,www.tractchun.es,1.0,2º semestre
156,GDLESR-0142497241,2016-05-07,584.0,2.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
157,GDLESR-0142558772,2016-07-07,1147.0,47.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
158,GDLESR-0242517083,2016-05-27,578.0,10.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,www.tractchun.es,1.0,1º semestre
159,GDLESR-0342589729,2016-08-07,1172.0,27.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,www.tractchun.es,1.0,2º semestre
160,GDLESR-0442561121,2016-07-10,1372.0,31.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,4.0,1.0,www.tractchun.es,1.0,2º semestre
161,GDLESR-0542468918,2016-04-08,1291.0,39.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,www.tractchun.es,1.0,1º semestre
162,GDLESR-0542610343,2016-08-28,1924.0,3.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,5.0,1.0,www.tractchun.es,1.0,2º semestre
163,GDLESR-1142370492,2016-01-01,1219.0,24.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
164,GDLESR-1142419559,2016-02-19,1195.0,15.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,1º semestre
165,GDLESR-1142607144,2016-08-25,1434.0,21.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,www.tractchun.es,1.0,2º semestre
166,GDLESR-1142676449,2016-11-02,1674.0,44.0,Sistema,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,www.tractchun.es,1.0,2º semestre
